,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.67739898989899,0.6666666666666666,0.672979797979798,0.67739898989899
1,0.6767676767676768,0.6761363636363636,0.6761363636363636,0.6767676767676768
2,0.6294191919191919,0.6565656565656566,0.6401515151515151,0.639520202020202
3,0.6666666666666666,0.6723484848484849,0.6603535353535354,0.6666666666666666
4,0.6786616161616161,0.6736111111111112,0.6811868686868687,0.6818181818181818
5,0.6849747474747475,0.6856060606060606,0.6805555555555556,0.6849747474747475
6,0.672979797979798,0.663510101010101,0.6628787878787878,0.6641414141414141
7,0.6515151515151515,0.6647727272727273,0.6401515151515151,0.6553030303030303
8,0.6534090909090909,0.6597222222222222,0.6534090909090909,0.6534090909090909
9,0.6477272727272727,0.6666666666666666,0.6597222222222222,0.6571969696969697
