,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,0.14893617021276595,inf,0.2727272727272727,0.1773472429210134,0.3369838989556404
1,0.0986237367325174,7.673539518900344,0.14318285453716373,0.10204951693719785,0.34796295633438207
2,0.003859348198970842,1.2045454545454546,0.015376984126984128,0.006549949398103761,0.37820480300231263
3,0.1456964088543036,8.612637362637363,0.2266610597140454,0.15339675502258562,0.3605656323445629
4,0.08466893313906426,5.508620689655173,0.12433862433862433,0.09510823126109343,0.3093749584589059
5,0.3490713806220631,77.09756097560975,0.5,0.3932622504537205,0.3271156283982016
6,0.14736842105263157,inf,0.25806451612903225,0.17590725806451613,0.32005175045789463
7,0.11494252873563218,inf,0.14705882352941177,0.1206992230854606,0.3558273875009924
8,0.01050717316629622,2.061224489795918,0.03290747193186218,0.012856613663772816,0.4123965799137638
9,0.15755025712949977,11.870967741935484,0.2488095238095238,0.181274308840534,0.31224163315573195
