,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.038834951456310676,0.0,-0.05,-0.04212328767123288,0.36538385027551246
1,0.0,,0.0,0.0,0.37590630586661994
2,0.0,,0.0,0.0,0.38077249551779285
3,-0.05263157894736842,0.0,-0.034482758620689655,-0.047042703813656085,0.40604831908833483
4,0.05747126436781609,5.0,0.07142857142857142,0.061138014527845036,0.31526040312146214
5,0.0,,0.0,0.0,0.3566749439387324
6,0.0,,0.0,0.0,0.34719619998418855
7,-0.014084507042253521,0.0,-0.03389830508474576,-0.02019590578912613,0.36327634565835093
8,-0.04455445544554455,0.0,-0.031746031746031744,-0.04105287198812378,0.4281093761413988
9,0.0,,0.0,0.0,0.3378064596343495
