,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,0.02127659574468085,inf,0.030303030303030304,0.023348236462990564,0.3680812100651695
1,0.08877151998374892,4.604123711340206,0.12357501139990881,0.08895612168435986,0.3448170771435578
2,0.003859348198970842,1.2045454545454546,0.015376984126984128,0.006549949398103761,0.37820480300231263
3,0.6263736263736264,inf,0.7560975609756098,0.6380487804878049,0.29052697263813854
4,-1.0,0.0,-1.0,-1.0,0.14909156185654276
5,0.2940255090624301,5.930581613508442,0.42424242424242425,0.3323571467854589,0.3118825896368304
6,0.5052631578947369,inf,0.7096774193548387,0.5579637096774194,0.2817302797526623
7,0.14942528735632185,inf,0.20588235294117646,0.1595449500554939,0.34796295633438207
8,0.14285714285714285,inf,0.24390243902439024,0.15703893881044073,0.38308055081720654
9,0.17204301075268819,inf,0.26666666666666666,0.19682539682539682,0.313922100032828
