,Mean Difference,Disparate Impact,Theil Index
0,0.0,,0.3807724955177929
1,0.15835949764521193,32.03846153846154,0.35580237444595564
2,0.1720538899834922,10.075842696629213,0.34600971696474886
3,0.18534853084369093,41.962025316455694,0.2592513524843811
4,0.10634920634920635,23.33333333333333,0.3686042940550928
5,0.18478260869565216,inf,0.3701605994311447
6,0.1348314606741573,inf,0.3273709673156809
7,-0.06763285024154589,0.0,0.39762325402248666
8,0.11956521739130435,inf,0.3048380378315825
9,-0.009999999999999998,0.6666666666666667,0.3558273875009924
