,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.0980392156862745,0.9019607843137255,0.0,0.0,0.07805266295594855
1,-0.13265306122448983,0.8673469387755102,0.0,0.0,0.07652348448926143
2,-0.19589216944801024,0.8011985409067223,0.0,0.0,0.10500575640731143
3,-0.19975490196078427,0.7941919191919192,0.0,0.0,0.1259567136937111
4,-0.18604651162790697,0.813953488372093,0.0,0.0,0.08150856250111685
5,-0.1875,0.8125,0.0,0.0,0.0755632444888381
6,-0.1825980392156863,0.8165024630541872,0.0,0.0,0.08464917944185599
7,-0.06153846153846154,0.9381443298969072,0.0,0.0,0.06004485820882846
8,-0.15861790260658715,0.838990872731002,0.0,0.0,0.08718023866667174
9,-0.10924107838553843,0.8834386431659461,0.0,0.0,0.11393744395374851
