,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,0.29411764705882354,5.0,0.2112676056338028,0.0,1.0511978075737318
1,0.3163265306122449,5.0,0.2537313432835821,0.0,1.078025074004809
2,0.3951219512195122,82.0,0.35986394557823126,0.0,0.9890162322055746
3,0.3229166666666667,5.0,0.25,0.0,1.078025074004809
4,0.43023255813953487,5.0,0.3888888888888889,0.0,0.954221043169548
5,0.025,5.0,0.03636363636363636,0.0,1.215146104924061
6,0.40625,5.0,0.3114754098360656,0.0,1.1270228005983365
7,0.10476190476190476,5.0,0.1232876712328767,0.0,1.246298787196418
8,0.030612244897959183,5.0,0.03508771929824561,0.0,1.1433631905973536
9,0.03225806451612903,5.0,0.018518518518518517,0.0,1.2233909760760517
