,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.7266666666666667,0.68,0.73,0.73
1,0.6833333333333333,0.6733333333333333,0.6666666666666666,0.6666666666666666
2,0.7,0.69,0.7,0.7
3,0.6833333333333333,0.6733333333333333,0.6866666666666666,0.6866666666666666
4,0.6533333333333333,0.69,0.6533333333333333,0.6533333333333333
5,0.67,0.6733333333333333,0.6666666666666666,0.67
6,0.7333333333333333,0.7333333333333333,0.7233333333333334,0.73
7,0.6966666666666667,0.7066666666666667,0.6966666666666667,0.6966666666666667
8,0.6866666666666666,0.6733333333333333,0.69,0.6866666666666666
9,0.65,0.6466666666666666,0.6533333333333333,0.6533333333333333
