,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6306818181818182,0.6464646464646465,0.6540404040404041,0.6496212121212122
1,0.6521464646464646,0.625,0.6698232323232324,0.6578282828282829
2,0.6748737373737373,0.6268939393939394,0.6786616161616161,0.6742424242424242
3,0.6748737373737373,0.6199494949494949,0.6736111111111112,0.6704545454545454
4,0.6717171717171717,0.6691919191919192,0.6717171717171717,0.6698232323232324
5,0.648989898989899,0.6218434343434344,0.6515151515151515,0.6540404040404041
6,0.6704545454545454,0.61489898989899,0.6660353535353535,0.6710858585858586
7,0.6654040404040404,0.5492424242424242,0.6723484848484849,0.6654040404040404
8,0.6508838383838383,0.6458333333333334,0.6527777777777778,0.6508838383838383
9,0.6818181818181818,0.67739898989899,0.6786616161616161,0.6786616161616161
