,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.3814940818772107,0.540819850540521,-0.2688610566351697,-0.3676383123728265,0.24529433414110458
1,-0.4055739577384352,0.5737334933973589,-0.27544258958603607,-0.40547310967505074,0.19288246116080215
2,-0.38716073257048805,0.5599739465162726,-0.27679729537485676,-0.36290482052693457,0.2076823707935717
3,-0.1717927631578947,0.7604357798165138,-0.10868963453409641,-0.13353023048040363,0.21156623041849196
4,-0.1887371912866297,0.7391700618270611,-0.14130176953365903,-0.15877991702489405,0.20560293304789498
5,-0.34866599121918274,0.5791962174940898,-0.27753330888644423,-0.3232678158585813,0.23290639900903926
6,-0.2903267152873018,0.6527464777936194,-0.20912606849888726,-0.2569550095580856,0.18472264168829222
7,-0.4747035099628639,0.5161086801668872,-0.3242682926829268,-0.4755497424649703,0.1994393422571415
8,-0.2331765339212244,0.7024316198913245,-0.14554594341828386,-0.22264925308065128,0.2065359002891758
9,-0.24698350958226978,0.669529106896963,-0.16934960351698924,-0.21379585080902969,0.21772252846687798
