,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.7875520371255033,0.7998362110148093,0.8007916467617553,0.8001091926567938
1,0.7915785163447758,0.8015423462772129,0.8016788370982052,0.8024295366136628
2,0.7956049955640483,0.8060465433699584,0.8070702245274005,0.8070702245274005
3,0.7920562342182488,0.8033849723606088,0.802566027434655,0.803043745308128
4,0.7895993994403876,0.8042039172865625,0.8033849723606088,0.8036579540025933
5,0.7930116699651948,0.8041356718760664,0.8046816351600354,0.8048181259810278
6,0.787893264177984,0.8009281375827476,0.8013376100457245,0.8018835733296936
7,0.793557633249164,0.8045451443390432,0.8038626902340817,0.8056370709069816
8,0.7962192042585137,0.8065242612434314,0.8065925066539276,0.806797242885416
9,0.7917150071657681,0.8023612912031666,0.8014058554562206,0.8014058554562206
