,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.4545454545454546,0.5454545454545454,0.0,0.0,0.07235356100763546
1,-0.559863523573201,0.41905374959768266,0.0,0.0,0.11905483720517135
2,1.0,inf,0.0,0.0,0.9818158399219925
3,0.43083003952569165,1.7569444444444442,0.0,0.0,0.31839941783469244
4,1.0,inf,0.0,0.0,0.9659424137927333
5,-0.6415094339622642,0.3584905660377358,0.0,0.0,0.12211656310889145
6,1.0,inf,0.0,0.0,0.9906288662768393
7,1.0,inf,0.0,0.0,0.9802056004037574
8,1.0,inf,0.0,0.0,0.888479299726294
9,-0.8974358974358975,0.10256410256410256,0.0,0.0,0.13526343843498462
