,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.024915641936566674,0.8370389378409189,-0.4674674674674675,-0.0577262044653349,0.17758844851881228
1,-0.024741860105096325,0.8453818384178533,-0.48593181065872226,-0.06060828680575962,0.17474059823065735
2,-0.043414078816275015,0.7263928836314355,-0.47248641304347827,-0.06158465143526655,0.1773697838886594
3,-0.021115969325670197,0.8639313345144409,-0.4754754754754755,-0.05887084978791868,0.17859033732711427
4,-0.020079571581776534,0.8737494409155874,-0.4784172661870504,-0.06068640447783179,0.17788191208951337
5,0.006324793936076323,1.039311703322643,-0.45391869757583847,-0.058577428292895355,0.17584827753745294
6,-0.03486640681088146,0.7755923446410757,-0.472,-0.057998819362455725,0.17766970111176353
7,-0.03134972200328057,0.7978683221965073,-0.4731289152654138,-0.05707526245748928,0.17897474731125665
8,-0.02771442981370764,0.8169650275475104,-0.46424974823766363,-0.05717439293598234,0.17795111389823248
9,-0.014195472581564589,0.9061935735182534,-0.4430018037969032,-0.052814059541770486,0.17564444457786765
