,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.8014058554562206,0.8029754998976318,0.8004504197092746,0.8014058554562206
1,0.8015423462772129,0.8039309356445778,0.801132873814236,0.8018835733296936
2,0.7988807752678633,0.7995632293728246,0.7961509588480175,0.7988807752678633
3,0.7996314747833209,0.8013376100457245,0.7996314747833209,0.7996314747833209
4,0.7992220023203439,0.8018153279191974,0.7993584931413362,0.7992902477308401
5,0.7970381491844674,0.8004504197092746,0.7973111308264519,0.7973793762369481
6,0.8013376100457245,0.8021565549716781,0.8005186651197707,0.8013376100457245
7,0.8007234013512591,0.8013376100457245,0.8008598921722514,0.8009281375827476
8,0.8015423462772129,0.8024977820241589,0.8014058554562206,0.8015423462772129
9,0.8021565549716781,0.8040674264655702,0.8016788370982052,0.8021565549716781
