,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.04739741300943341,0.6947831026381724,-0.4691358024691358,-0.0564042303172738,0.17676933881230822
1,-0.051433288534742064,0.6715538702161185,-0.473353194306521,-0.05561269468116368,0.1762720216060601
2,-0.05054547122917624,0.6854110223497538,-0.4765625,-0.0617311072056239,0.17644052725832418
3,-0.05155553411675992,0.6660710072561021,-0.4671338004671338,-0.05521427526692994,0.1794773086895273
4,-0.05064458172233194,0.686310073429187,-0.47939829954218444,-0.05818235380762999,0.17686762443979248
5,-0.05368980611713045,0.657446996445342,-0.46842632809889745,-0.05798394290811775,0.17907723859657024
6,-0.05336448238089381,0.6540433142229309,-0.4646666666666667,-0.05548996458087367,0.17867521747163764
7,-0.04695740426839845,0.6959871146334615,-0.4671941971645236,-0.055300901966582876,0.17988479256647508
8,-0.0425771767285783,0.7174669612002493,-0.45955018462571334,-0.0551140544518028,0.17844286554218516
9,-0.04896128619817493,0.6764543576967244,-0.46216491347132677,-0.05551465174495656,0.17628378037350287
