,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.011736579004564224,0.49767441860465117,0.0023809523809523794,-0.00854978354978355,0.3383648572036243
1,0.373015873015873,79.33333333333333,0.5666666666666667,0.4216442953020134,0.30888186616692553
2,0.18253968253968253,7.388888888888889,0.2888888888888889,0.20185185185185187,0.3487584042659727
3,0.34782608695652173,inf,0.46875,0.37604166666666666,0.3167739400827168
4,0.10269596384603398,22.258064516129032,0.1388888888888889,0.10978296680668809,0.39628335425644357
5,0.5794392523364486,inf,0.75,0.6214788732394366,0.2677357647615475
6,0.14563106796116504,inf,0.25,0.16977611940298507,0.3063825941007358
7,0.045694297929043365,1.9014238773274919,-0.002873563218390815,0.030542751489621357,0.305914453071444
8,0.5066718995290425,10.930769230769231,0.7566496887379739,0.5788274559783296,0.28188807694464885
9,0.048153214774281805,1.5176470588235293,0.10239651416122003,0.05771633950281355,0.25923168850001926
