,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.0036698386452081178,0.9726033827872582,0.11411832490215418,0.01713369563904001,0.19851944078843525
1,-0.0697444373749389,0.6540052492237668,-0.024674664394642498,0.00032300802592823835,0.16820671433206102
2,-0.0744762352679472,0.6345729299654037,-0.008583172147001938,-0.003912000057465635,0.17483228398317419
3,-0.05997967305600743,0.69611554446454,-0.009435570855589048,0.0022366819290181097,0.17214086497360953
4,-0.07672716836594828,0.6302973890398623,-0.03058308946159416,-0.002657984641904594,0.16818810890623265
5,-0.06827321277049647,0.6583538409156386,-1.1016627330828754e-05,-0.0005208838339234093,0.17198928223086285
6,-0.07598519118034086,0.634540312095338,-0.042208231490274306,-0.003185102953123471,0.17606459643401157
7,-0.07649475174269696,0.6232537377737825,-0.027077766358341915,-0.005593548400529322,0.1702355340737229
8,-0.07580836693901064,0.6326994014195048,-0.057668376910823826,-0.0025286790392031397,0.17618395745711926
9,-0.004048747819007492,0.9697978690995698,0.1293466556775555,0.01739451906276074,0.1981604833678695
