,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.7827748583907732,0.7897358902613799,0.7824336313382925,0.7827748583907732
1,0.7952637685115675,0.793079915375691,0.7949225414590869,0.7952637685115675
2,0.7879615095884802,0.7781341704770354,0.7875520371255033,0.7877567733569918
3,0.7886439636934416,0.785504674810619,0.7886439636934416,0.7886439636934416
4,0.7822971405173003,0.7915102709342797,0.7939671057121409,0.7941035965331331
5,0.7916467617552719,0.7828431038012693,0.7915102709342797,0.7916467617552719
6,0.7841397666006961,0.7830478400327578,0.7841397666006961,0.7841397666006961
7,0.7914420255237835,0.7895993994403876,0.791169043881799,0.7914420255237835
8,0.7860506380945882,0.7790896062239815,0.7860506380945882,0.7860506380945882
9,0.7811369685388657,0.7827748583907732,0.7904183443663414,0.7836620487272231
