,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6470959595959596,0.6578282828282829,0.6470959595959596,0.6483585858585859
1,0.6622474747474747,0.6193181818181818,0.6571969696969697,0.6571969696969697
2,0.6553030303030303,0.6521464646464646,0.6616161616161617,0.6616161616161617
3,0.6584595959595959,0.6748737373737373,0.6590909090909091,0.6590909090909091
4,0.6736111111111112,0.67739898989899,0.6609848484848485,0.672979797979798
5,0.6540404040404041,0.5265151515151515,0.6622474747474747,0.6540404040404041
6,0.6319444444444444,0.6313131313131313,0.6388888888888888,0.63510101010101
7,0.6521464646464646,0.6578282828282829,0.6521464646464646,0.6521464646464646
8,0.6641414141414141,0.6212121212121212,0.6622474747474747,0.6628787878787878
9,0.6357323232323232,0.6521464646464646,0.6433080808080808,0.6452020202020202
