,Mean Difference,Disparate Impact,Theil Index
0,-0.20613722091956366,0.0,0.17834343871773362
1,-0.2136647233302649,0.0,0.17618544603927905
2,-0.20797138477261115,0.0,0.17719999756548116
3,-0.20740816535352502,0.0,0.18011836634574854
4,-0.2106892282294676,0.0,0.17713649543773297
5,-0.20744081172491544,0.0,0.18421219730069158
6,-0.2050345107592367,0.0,0.17991743538784327
7,-0.20508890251379522,0.0,0.17499863730628498
8,-0.20481190743195024,0.0,0.1809301175849678
9,-0.21573240589198037,0.0,0.17576900069792717
