,Mean Difference,Disparate Impact,Theil Index
0,-0.20746253440717707,0.0,0.17802305109944305
1,-0.22041526030479697,0.0,0.17438407348714347
2,-0.21287685232498724,0.0,0.17580753585042433
3,-0.22633786964084723,0.0,0.17532342001500775
4,-0.2119273627734214,0.0,0.17679015090883266
5,-0.20744081172491544,0.0,0.18421219730069158
6,-0.2050345107592367,0.0,0.17991743538784327
7,-0.24085428162681383,0.0,0.1661213755037541
8,-0.20939953104291978,0.0,0.1798847925664751
9,-0.21573240589198037,0.0,0.17576900069792717
