,Mean Difference,Disparate Impact,Theil Index
0,-0.22020593332653685,0.0,0.1745802964863455
1,-0.2245064948348164,0.0,0.17416090050067398
2,-0.21951967296882985,0.0,0.17427998927621263
3,-0.2180497288447764,0.0,0.17710743570694557
4,-0.220491126702435,0.0,0.1753778732098582
5,-0.22055959823716306,0.0,0.18080320938416763
6,-0.21802679658952498,0.0,0.17681922023456315
7,-0.21908849376660536,0.0,0.1718411516844517
8,-0.21724946477724538,0.0,0.17727610281221373
9,-0.22688216039279868,0.0,0.17287832206530393
