,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.7925339520917218,0.8033849723606088,0.8043404081075548,0.8043404081075548
1,0.7969699037739713,0.8074796969903774,0.8064560158329352,0.8078891694533543
2,0.7881662458199686,0.8003821742987784,0.8009963829932437,0.8010646284037398
3,0.7921927250392411,0.8029072544871357,0.8047498805705317,0.8047498805705317
4,0.8003821742987784,0.8053640892649969,0.8078209240428581,0.8065242612434314
5,0.7988125298573671,0.8043404081075548,0.8027025182556473,0.8050228622125162
6,0.7841397666006961,0.8007916467617553,0.8009963829932437,0.8000409472462977
7,0.7835255579062308,0.8029754998976318,0.8035897085920972,0.8035897085920972
8,0.7873473008940148,0.7994267385518324,0.7997679656043131,0.7997679656043131
9,0.7913737801132874,0.8022930457926705,0.8007916467617553,0.803043745308128
