,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.20148949194042032,0.0,-0.44110698616267296,-0.048837549349320074,0.1809267940352969
1,-0.23044635544635544,0.0,-0.49167516139993206,-0.0589010989010989,0.17054922070344702
2,-0.21209330877839166,0.0,-0.44581117021276595,-0.05409399940880875,0.18122300849663076
3,-0.20636232183433176,0.0,-0.44333102971665517,-0.05266647024160283,0.17772898496978706
4,-0.2364416300684302,0.0,-0.5057239057239057,-0.05959536724820408,0.1684150793129142
5,-0.22996515679442509,0.0,-0.4783484390735146,-0.060407139696120375,0.17411986941224544
6,-0.23740053050397877,0.0,-0.48952444296641173,-0.06291390728476821,0.17403375221822334
7,-0.21161106009590858,0.0,-0.4522096608427544,-0.05478058703865155,0.17685207895876257
8,-0.2082433960324802,0.0,-0.44355108877721944,-0.05204626334519573,0.18443692116040528
9,-0.23917442331040065,0.0,-0.49268130405854954,-0.06419017156150043,0.17262932727586452
