,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.07113870509095974,0.6409363608127768,-0.024350662467547857,-0.0021280844216013256,0.17268982818617407
1,-0.08571206127500908,0.5786434753224516,-0.06436662254476855,-0.0061163317406131845,0.16847593714402526
2,-0.07673113114745367,0.6231306151581848,-0.016320116054158618,-0.004681212790494535,0.17495517177348538
3,-0.08049868331551255,0.5921568540759851,-0.056164542818205876,-0.006442308152136082,0.172611239786066
4,-0.14172099806566033,0.31713076178106286,-0.2399288838541175,-0.026230898901206653,0.17293739268944672
5,-0.13824558399059067,0.31138315029087094,-0.22755815807175325,-0.026061514609737504,0.17644977882965876
6,-0.07598519118034086,0.634540312095338,-0.042208231490274306,-0.003185102953123471,0.17606459643401157
7,-0.0089506235925082,0.9339419715134241,0.10618705035971221,0.01424080207898245,0.19616765412284976
8,-0.08779049528994484,0.574644557432334,-0.0926946466131005,-0.007008348232862678,0.1770197554989379
9,-0.07631766062334827,0.6232149062931197,-0.012800882253757362,-0.004732825240714805,0.17249301656914648
