,Adversarial,Prejudice,Nondebiased,Ensemble
Accuracy,0.6401515151515151,0.6553030303030303,0.6433080808080808,0.6439393939393939
Mean difference,0.03965988023952094,-0.032014371257485075,0.004349700598802464,0.01570778443113774
Disparate impact,1.074838418079096,0.9459959595959595,1.0075666666666667,1.0283589189189188
Equal Opportunity Difference,0.09211843138462494,-0.07090461378952828,0.048953794515696925,0.05940815101079311
Average Odds Difference,0.08151152258707658,-0.046059215692312416,0.04870577232264889,0.060989715733494015
Theil Index,0.22565905243221596,0.21217458171794615,0.21422492075815494,0.2203731582276165
