,Adversarial,Prejudice,Nondebiased,Ensemble
Accuracy,0.663510101010101,0.6647727272727273,0.6622474747474747,0.6622474747474747
Mean difference,-0.016761170786247614,-0.04447350557041885,-0.04207762648245017,-0.04207762648245017
Disparate impact,0.9702442136603694,0.9256421811626859,0.9285132797394933,0.9285132797394933
Equal Opportunity Difference,-0.02936021034180547,-0.02936021034180547,-0.02936021034180547,-0.02936021034180547
Average Odds Difference,-0.01971925133689839,-0.01971925133689839,-0.01971925133689839,-0.01971925133689839
Theil Index,0.21589333518797646,0.20828195386658388,0.214025574393468,0.214025574393468
