,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6527777777777778,0.6464646464646465,0.634469696969697,0.6426767676767676
1,0.6609848484848485,0.6641414141414141,0.6502525252525253,0.6616161616161617
2,0.6534090909090909,0.6597222222222222,0.663510101010101,0.6628787878787878
3,0.6502525252525253,0.6698232323232324,0.663510101010101,0.6679292929292929
4,0.6685606060606061,0.6666666666666666,0.6691919191919192,0.6685606060606061
5,0.6590909090909091,0.6559343434343434,0.6565656565656566,0.6565656565656566
6,0.6571969696969697,0.6698232323232324,0.6571969696969697,0.6571969696969697
7,0.6426767676767676,0.6590909090909091,0.6332070707070707,0.6426767676767676
8,0.6508838383838383,0.6622474747474747,0.6603535353535354,0.6546717171717171
9,0.6698232323232324,0.6691919191919192,0.6515151515151515,0.6666666666666666
