,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6527777777777778,0.6502525252525253,0.6470959595959596,0.6477272727272727
1,0.6685606060606061,0.6717171717171717,0.6685606060606061,0.6685606060606061
2,0.663510101010101,0.6685606060606061,0.6679292929292929,0.6679292929292929
3,0.6767676767676768,0.6799242424242424,0.6679292929292929,0.6767676767676768
4,0.6654040404040404,0.672979797979798,0.6679292929292929,0.6723484848484849
5,0.6553030303030303,0.6483585858585859,0.6553030303030303,0.6553030303030303
6,0.6534090909090909,0.6679292929292929,0.6660353535353535,0.6660353535353535
7,0.6786616161616161,0.6824494949494949,0.672979797979798,0.6830808080808081
8,0.6483585858585859,0.6609848484848485,0.6452020202020202,0.6508838383838383
9,0.6698232323232324,0.6641414141414141,0.6590909090909091,0.6654040404040404
