,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6672979797979798,0.6685606060606061,0.6767676767676768,0.6748737373737373
1,0.6565656565656566,0.6767676767676768,0.6818181818181818,0.6748737373737373
2,0.6578282828282829,0.6060606060606061,0.6603535353535354,0.6578282828282829
3,0.6603535353535354,0.6723484848484849,0.6641414141414141,0.663510101010101
4,0.6609848484848485,0.6792929292929293,0.6786616161616161,0.6786616161616161
5,0.6862373737373737,0.5334595959595959,0.6938131313131313,0.6868686868686869
6,0.6666666666666666,0.6136363636363636,0.6723484848484849,0.6710858585858586
7,0.6325757575757576,0.5972222222222222,0.6433080808080808,0.6313131313131313
8,0.6609848484848485,0.6098484848484849,0.6698232323232324,0.6609848484848485
9,0.663510101010101,0.6136363636363636,0.6691919191919192,0.6654040404040404
