,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.05068673540939231,0.6813103349536097,-0.4781448114781448,-0.05794653349001175,0.1750602621859286
1,-0.05310410245801636,0.6674772527541658,-0.4786494538232373,-0.057522774022920956,0.17557180479264364
2,-0.051809415743187065,0.6846054545268758,-0.484375,-0.06370826010544815,0.1751750518386964
3,-0.05155553411675992,0.6660710072561021,-0.4671338004671338,-0.05521427526692994,0.1794773086895273
4,-0.05064458172233194,0.686310073429187,-0.47939829954218444,-0.05818235380762999,0.17686762443979248
5,-0.05525132334029162,0.655044356322309,-0.4741062479117942,-0.06021409455842997,0.17837848953696256
6,-0.05336448238089381,0.6540433142229309,-0.4646666666666667,-0.05548996458087367,0.17867521747163764
7,-0.04695740426839845,0.6959871146334615,-0.4671941971645236,-0.055300901966582876,0.17988479256647508
8,-0.045156093627173474,0.7089811652356712,-0.4706277274253105,-0.05710080941869022,0.17638496703195536
9,-0.04924327987350352,0.6812865497076023,-0.47166610111978285,-0.05683993520836401,0.17442834063755075
