,Adversarial,Prejudice,Nondebiased,Ensemble
Accuracy,0.7,0.7233333333333334,0.6866666666666666,0.6966666666666667
Mean difference,-0.05246849824416443,-0.0048543689320388345,-0.025407973559181986,-0.05732286717620326
Disparate impact,0.1685761047463175,0.0,0.6261398176291794,0.15653495440729484
Equal Opportunity Difference,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555
Average Odds Difference,-0.05309675704412546,-0.025318979266347685,-0.03365895800106326,-0.05638623072833599
Theil Index,0.32277457700850665,0.3210408560776905,0.32806259936278753,0.3241411555687782
