,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6710858585858586,0.5637626262626263,0.672979797979798,0.672979797979798
1,0.6540404040404041,0.6161616161616161,0.6534090909090909,0.6534090909090909
2,0.6470959595959596,0.6433080808080808,0.648989898989899,0.6477272727272727
3,0.6641414141414141,0.6527777777777778,0.6590909090909091,0.6546717171717171
4,0.6628787878787878,0.6237373737373737,0.6616161616161617,0.6660353535353535
5,0.6717171717171717,0.663510101010101,0.6679292929292929,0.6691919191919192
6,0.6748737373737373,0.5460858585858586,0.6723484848484849,0.6723484848484849
7,0.6590909090909091,0.5883838383838383,0.6590909090909091,0.6590909090909091
8,0.6571969696969697,0.6060606060606061,0.6628787878787878,0.6571969696969697
9,0.6736111111111112,0.6167929292929293,0.6723484848484849,0.6723484848484849
